"","Finished","ProlificID","MusicLexicon","MUVA1_1","MUVA11_1","MUVA14_1","MUVA23_1","MUVA31_1","MUVA69_1","MUVA109_1","MUVA105_1","MUVA41_1","MUVA42_1","MUAR1_1","MUAR11_1","MUAR14_1","MUAR23_1","MUAR31_1","MUAR69_1","MUAR109_1","MUAR105_1","MUAR41_1","MUAR42_1","TAS1_1","TAS2_1","TAS3_1","TAS4_1","TAS5_1","TAS6_1","TAS7_1","TAS8_1","TAS9_1","TAS10_1","TAS11_1","TAS12_1","TAS13_1","TAS14_1","TAS15_1","TAS16_1","TAS17_1","TAS18_1","TAS19_1","TAS20_1","UserLanguage","Age","Gender","MusicExperience1","Yearsplayed","HoursListened","WC","posemo","negemo","ID"
"7",1,"5a0f26a15d06850001b002aa","Happiness, sadness, joy, regret, anger, heartache, jealousy, sorrow, mournfulness, worry, anxious",-3,-2,-1,3,-1,-3,-3,1,0,2,3,1,1,3,-1,2,-2,2,0,0,4,4,2,2,4,3,2,4,5,4,5,4,5,2,2,1,4,5,4,4,"EN",2,1,1,2,9,5,40,40,1
"8",1,"576d7c40240aa0000193d40d","Joy, sadness, love, anger, euphoria, ",1,-3,-3,3,-2,-2,-2,3,-1,-1,3,2,-2,2,1,2,0,3,0,-1,1,1,1,5,5,1,1,1,1,4,1,2,1,1,4,2,3,4,4,1,"EN",4,0,0,NA,4,10,20,70,2
"9",1,"5a0d9498a383a100011b516d","Sadness, Happiness, Anger, Annoyance, Fear, Anxiety, Remorse, Regret, Love, Hate",1,-2,-2,3,-2,-1,-3,2,3,1,2,-2,-1,2,-1,0,-2,1,-2,-1,2,5,1,2,5,3,2,1,4,5,4,4,3,2,5,4,2,4,4,5,"EN",3,0,1,1,11,11,18.18,45.45,3
"10",1,"5a0ef0095d06850001b0019e","all the emotions, sadness, happiness, anger, frustration, heartbreak, loss, excitement, empowerment, ",0,-2,-1,1,-1,0,-1,2,0,0,1,1,1,1,-1,-1,-1,1,1,0,4,5,2,2,4,3,4,1,4,5,4,4,2,3,2,2,5,3,4,3,"EN",7,1,1,2,2,15,20,46.67,4
"11",1,"572f8258ad13160010008a61","Love, hate, happiness, anger, hurt, pain, euphoria, ambitiousness, powerful, strong, weak, low, sad, tearful, contentness, ",-2,-2,-1,3,0,-2,-3,3,1,2,2,1,2,2,-2,2,-3,3,2,-3,2,2,2,4,3,2,2,3,2,4,2,2,2,2,2,2,2,4,5,1,"EN",7,1,1,3,4,7,42.86,57.14,5
"12",1,"58a636360da7f10001de857a","love sadness happiness depression regret joy hate ",-1,-1,-3,3,0,-3,1,2,3,-1,3,1,3,3,0,1,-2,2,2,-1,5,5,1,1,3,4,1,2,3,5,4,4,4,3,3,4,5,4,5,2,"EN",3,1,0,NA,5,5,20,60,6
"13",1,"5640ee4a17bdbe00062a0a40","anger, sadness, happiness, sympathy, hatred , ",-3,-3,-3,3,-3,-2,-1,3,-1,1,3,-3,2,2,-3,2,-3,2,-1,-3,1,1,1,5,4,1,1,3,1,5,1,1,1,1,3,3,1,4,2,3,"EN",6,0,1,2,3,5,40,60,7
"14",1,"57729e92bbc49d0001fc91dc","happy, joy, anger, rage, sadness, ",-1,-2,-3,3,-1,-2,-2,3,0,1,3,1,1,3,-1,2,-1,3,-1,1,4,3,1,4,4,2,2,2,3,4,4,3,3,2,3,2,3,2,3,3,"EN",6,0,0,NA,4,4,25,75,8
"15",1,"597dda62aac45000016f1a7e","happy, sad, anger, hurt",0,0,0,3,-1,0,3,3,0,1,1,1,2,3,-3,1,3,2,-3,-3,1,1,1,5,3,1,1,5,1,4,1,1,1,1,4,3,1,3,1,1,"EN",6,1,0,NA,5,11,45.45,27.27,9
"16",1,"5a0c53ccdf3fa800015c3c7d","Heart ache, love,empowerment,joy, happiness, hatred, madness, passion, laughter, sarcasm ",-2,-2,-2,3,-1,-2,-3,3,1,2,3,0,3,3,1,2,-2,2,0,-1,4,4,2,5,5,2,2,2,2,1,2,4,2,2,4,1,2,2,4,4,"EN",6,0,1,1,3,6,50,50,10
"17",1,"573221f0c63b5c000d367c34","happy sad love anger hurt joy ",-1,-2,-1,3,-2,0,-3,2,-1,-2,3,0,1,3,-2,1,-2,3,-1,-3,2,2,4,4,2,2,4,4,2,4,3,3,1,4,4,3,2,4,4,3,"EN",4,1,1,1,4,9,33.33,55.56,11
"18",1,"59d37cb9aeef3b0001022141","joy, sadness, reflection, happiness, love, loss, jealousy, tension, fear, ",-2,-3,-3,3,-1,-1,-1,3,1,2,3,2,3,3,-2,1,-1,3,-1,-2,2,2,1,4,3,2,2,4,2,4,2,2,2,1,2,2,1,4,4,2,"EN",6,1,1,3,8,6,33.33,50,12
"19",1,"5a0dfc4e7542890001aa728d","Love hate misery sadness happiness seduction ",1,1,-1,-2,1,1,-1,1,1,1,-2,2,1,-2,-2,-1,1,-1,2,-1,1,1,2,5,3,1,1,2,1,5,1,1,1,1,2,2,1,5,3,4,"EN",6,0,1,1,3,8,62.5,12.5,13
"20",1,"5a0f16f1ff266c0001d2080c","Happy sad excited down enthusiastic motivated love passion ",-1,-1,-1,3,-1,-1,-2,2,-1,0,-1,3,2,3,-1,2,-2,1,-2,-1,4,5,3,2,3,3,2,1,5,4,4,5,5,5,3,2,5,4,3,3,"EN",4,1,1,2,3,8,37.5,50,14
"21",1,"5991eb1bb83f800001a5e42c","sorrow joy intensity anger rage passion peace greed ",-2,-2,-1,3,-2,-2,-3,3,3,-1,-3,3,3,3,-1,0,-2,3,0,0,4,5,3,2,5,3,2,2,5,3,2,1,5,4,3,3,2,4,1,3,"EN",5,1,1,1,4,5,80,20,15
"22",1,"59ca78e15e015800019778f3","Pleasure, Relaxation, Excitement, Energetic, Sad  ",-3,-1,-3,3,0,-1,0,3,1,1,3,0,2,1,0,2,0,2,0,0,1,1,1,4,4,2,2,3,2,4,3,3,3,2,3,4,4,4,3,3,"EN",4,0,1,2,4,4,50,50,16
"23",1,"5758bdd943c0150006e6e372","love, hate, sadness, happiness",-2,-1,2,1,2,0,0,3,0,1,2,0,1,1,-1,2,1,3,0,-1,3,3,3,4,4,3,3,3,4,4,3,3,2,2,2,4,4,4,4,4,"EN",4,0,0,NA,11,6,33.33,66.67,17
"24",1,"591d739a40c1b400019a2905","sadness, joy, grief, happiness, anger, longing, ",-3,0,-3,3,0,-3,0,3,0,0,-3,-1,-3,3,0,-3,0,3,0,-2,3,4,5,2,4,5,2,5,4,5,4,5,5,5,4,5,5,5,4,4,"EN",5,1,1,1,3,4,50,50,18
"25",1,"597f8719f379630001eccdff","Anger happiness love upset",1,-1,-1,3,0,2,0,3,1,1,1,1,2,3,-1,3,-1,3,1,-1,2,2,2,4,4,2,2,2,2,4,2,2,2,2,4,3,4,4,2,3,"EN",7,1,1,2,2,12,50,33.33,19
"26",1,"59707bf16c75db0001fea43f","Love, hope, faith, dispair, anger, sadness, heartbroken, fear, surprised, honour, happiness, jo",-3,0,-1,2,-2,-3,-1,1,-1,0,2,-3,-2,2,-1,1,-3,2,-3,-3,1,4,2,2,4,2,2,2,2,4,2,2,2,1,2,1,4,4,4,2,"EN",3,1,0,NA,1,6,50,50,20
"27",1,"58b99fcaf814e400015249bc","Joy Happiness Sadness Anger Loneliness Love ",-1,-3,-2,3,0,-1,-1,2,1,0,2,1,2,3,-2,-2,-3,3,-2,-3,4,4,5,2,4,3,2,3,3,4,2,4,5,2,4,2,3,3,4,1,"EN",5,0,1,2,11,12,33.33,66.67,21
"28",1,"56f699e876348f000c883bba","sadness, happiness, low, depression, guilt, sorrow, anger, shame, passion, jealousy, pride, joy, ",1,-2,0,3,0,-2,0,3,1,1,1,-1,0,3,-1,-2,-1,2,-1,-1,4,4,1,2,3,4,1,4,3,4,4,4,4,4,5,2,5,5,3,3,"EN",5,1,1,2,4,1,0,0,22
"29",1,"5996dfae90392400014320f6","-99",1,-1,1,2,-1,-1,1,2,0,2,2,2,-1,1,-2,-1,0,2,-2,0,4,5,5,5,3,4,4,3,4,4,4,5,5,5,5,4,5,5,4,3,"EN",1,1,1,2,4,14,42.86,42.86,23
"30",1,"572b3753f1d1a50009d14868","sadness, pain, happiness, guilt, loneliness, depression, joy, distaste, frightened, love, desire, lust, freedom, adora",0,2,-1,1,0,0,1,0,0,-1,2,1,1,2,2,-1,3,2,2,1,3,4,4,4,4,4,4,3,4,4,5,5,5,5,5,4,5,4,5,5,"EN",7,1,0,NA,4,9,22.22,44.44,24
"31",1,"5507738ffdf99b352b9fe4b3","Sadness; Joy; anger; excitement; fear; anticipation; suspense; anxiety; appre",-3,-3,-2,3,-2,-2,-2,1,-1,0,3,1,2,3,-2,1,-3,2,-1,-1,4,3,4,4,5,4,4,2,4,4,4,4,3,4,4,2,3,4,4,2,"EN",6,0,0,NA,3,9,55.56,33.33,25
"32",1,"57843b986475d400015a8e45","happiness joy sadness heartbreak excitement humor love fear anticipat",-1,-2,-2,3,0,-1,-1,3,-1,1,3,-1,3,3,1,2,-2,2,-1,-2,2,4,1,4,4,4,1,4,2,2,1,4,1,4,2,1,5,4,4,4,"EN",3,0,1,3,5,3,66.67,33.33,26
